Title,Price,Description,Url,Image
Dolce & Gabbana,$2450,Beige & Black Raffia Top Handle Bag,https://www.ssense.com/en-ch/women/product/dolce-and-gabbana/beige-and-black-raffia-top-handle-bag/3738639,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
Saks Potts,$1610,Purple Patent Foxy Gloss Coat,https://www.ssense.com/en-ch/women/product/saks-potts/purple-patent-foxy-gloss-coat/3783019,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
Kenzo,$250,White Square Logo Tote,https://www.ssense.com/en-ch/women/product/kenzo/white-square-logo-tote/3529809,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
Maryam Nassir Zadeh,$275,Black & White Check Salma Dress,https://www.ssense.com/en-ch/women/product/maryam-nassir-zadeh/black-and-white-check-salma-dress/3703039,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
Prada,$620,Black Quilted Envelope Bag,https://www.ssense.com/en-ch/women/product/prada/black-quilted-envelope-bag/3431309,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
Sophie Buhai,$180,Silver Hinged Hoop Earrings,https://www.ssense.com/en-ch/women/product/sophie-buhai/silver-hinged-hoop-earrings/3512359,//googleads.g.doubleclick.net/pagead/viewthroughconversion/1063827787/?value=0&label=IFM5CImLwQMQy_Ki-wM&guid=ON&script=0
Sophie Buhai,$115,Black Elegant Scrunchie,https://www.ssense.com/en-ch/women/product/sophie-buhai/black-elegant-scrunchie/3512529,//bat.bing.com/action/0?ti=4008316&Ver=2
Sophie Buhai,$345,Silver Petite Egg Drop Earrings,https://www.ssense.com/en-ch/women/product/sophie-buhai/silver-petite-egg-drop-earrings/3513229,https://www.facebook.com/tr?id=1084416341572353&ev=PageView&noscript=1
McQ Alexander McQueen,$295,Tan & Pink Daku Sneakers,https://www.ssense.com/en-ch/women/product/mcq-alexander-mcqueen/tan-and-pink-daku-sneakers/3402469,//res.cloudinary.com/ssenseweb/image/upload/v1409080279/web/ssense_logo_v2.png
McQ Alexander McQueen,$140,White Mini Swallow Platform Slip-On Sneakers,https://www.ssense.com/en-ch/women/product/mcq-alexander-mcqueen/white-mini-swallow-platform-slip-on-sneakers/3403889,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
Maryam Nassir Zadeh,$390,White Palma Low Sandals,https://www.ssense.com/en-ch/women/product/maryam-nassir-zadeh/white-palma-low-sandals/3420769,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
Saks Potts,$1610,Green Foxy Coat,https://www.ssense.com/en-ch/women/product/saks-potts/green-foxy-coat/4464451,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
Saks Potts,$1610,Beige Foxy coat,https://www.ssense.com/en-ch/women/product/saks-potts/beige-foxy-coat/4464481,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
Saks Potts,$1610,Brown Foxy Coat,https://www.ssense.com/en-ch/women/product/saks-potts/brown-foxy-coat/4464501,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
Saks Potts,$255,Green Ice T-Shirt,https://www.ssense.com/en-ch/women/product/saks-potts/green-ice-t-shirt/4464431,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
Proenza Schouler,$635,White Cotton Sleeveless Shirt,https://www.ssense.com/en-ch/women/product/proenza-schouler/white-cotton-sleeveless-shirt/3698649,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
Saks Potts,$535,Black Moon Logo Vest,https://www.ssense.com/en-ch/women/product/saks-potts/black-moon-logo-vest/4262531,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
Proenza Schouler,$600,Yellow Tie-Dye Knit Sweater,https://www.ssense.com/en-ch/women/product/proenza-schouler/yellow-tie-dye-knit-sweater/3698719,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
Saks Potts,$280,Green Lissi Shimmer Trousers,https://www.ssense.com/en-ch/women/product/saks-potts/green-lissi-shimmer-trousers/4464441,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
Proenza Schouler,$795,Beige Denim Trousers,https://www.ssense.com/en-ch/women/product/proenza-schouler/beige-denim-trousers/3698779,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
Toogood,$805,Indigo 'The Tinker' Jeans,https://www.ssense.com/en-ch/women/product/toogood/indigo-the-tinker-jeans/3783169,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
Levi's,$90,Blue Wedgie Icon Fit Jeans,https://www.ssense.com/en-ch/women/product/levis/blue-wedgie-icon-fit-jeans/4449641,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
Levi's,$90,Blue Wedgie Jeans,https://www.ssense.com/en-ch/women/product/levis/blue-wedgie-jeans/4449621,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
alexanderwang.t,$285,Black Wash & Go Light Open Back Dress,https://www.ssense.com/en-ch/women/product/alexanderwangt/black-wash-and-go-light-open-back-dress/3958061,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
alexanderwang.t,$285,Khaki Wash & Go Light Open Back Dress,https://www.ssense.com/en-ch/women/product/alexanderwangt/khaki-wash-and-go-light-open-back-dress/3958071,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
alexanderwang.t,$360,Black Foundation Bodycon Dress,https://www.ssense.com/en-ch/women/product/alexanderwangt/black-foundation-bodycon-dress/3958281,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
alexanderwang.t,$315,Khaki Twisted Minidress,https://www.ssense.com/en-ch/women/product/alexanderwangt/khaki-twisted-minidress/3958231,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
alexanderwang.t,$385,Black Utility V-Neck Sweater,https://www.ssense.com/en-ch/women/product/alexanderwangt/black-utility-v-neck-sweater/3957521,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
alexanderwang.t,$245,Khaki Wash & Go Light Skirt,https://www.ssense.com/en-ch/women/product/alexanderwangt/khaki-wash-and-go-light-skirt/3958011,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
alexanderwang.t,$190,Black Wash & Go Logo Bike Shorts,https://www.ssense.com/en-ch/women/product/alexanderwangt/black-wash-and-go-logo-bike-shorts/3957911,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
alexanderwang.t,$340,Grey Cropped Utility Sweater,https://www.ssense.com/en-ch/women/product/alexanderwangt/grey-cropped-utility-sweater/3957581,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
alexanderwang.t,$340,Pink Cropped Utility Sweater,https://www.ssense.com/en-ch/women/product/alexanderwangt/pink-cropped-utility-sweater/3957591,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
alexanderwang.t,$285,Grey Wash & Go Fleece Sweatshirt,https://www.ssense.com/en-ch/women/product/alexanderwangt/grey-wash-and-go-fleece-sweatshirt/3957691,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
alexanderwang.t,$285,Pink Wash & Go Dense Logo Sweatshirt,https://www.ssense.com/en-ch/women/product/alexanderwangt/pink-wash-and-go-dense-logo-sweatshirt/3957701,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
alexanderwang.t,$190,Black Foundation Bodycon Bralette,https://www.ssense.com/en-ch/women/product/alexanderwangt/black-foundation-bodycon-bralette/3957001,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
alexanderwang.t,$315,Grey Wash & Go Zipper Hoodie,https://www.ssense.com/en-ch/women/product/alexanderwangt/grey-wash-and-go-zipper-hoodie/3957761,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
alexanderwang.t,$265,Pink Wash & Go Dense Logo Lounge Pants,https://www.ssense.com/en-ch/women/product/alexanderwangt/pink-wash-and-go-dense-logo-lounge-pants/3957881,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
alexanderwang.t,$265,Grey Wash & Go Fleece Lounge Pants,https://www.ssense.com/en-ch/women/product/alexanderwangt/grey-wash-and-go-fleece-lounge-pants/3957871,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
alexanderwang.t,$165,Grey Oversized Wash & Go Puff Logo T-Shirt,https://www.ssense.com/en-ch/women/product/alexanderwangt/grey-oversized-wash-and-go-puff-logo-t-shirt/3957371,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
alexanderwang.t,$190,Off-White Wash & Go Logo Bra,https://www.ssense.com/en-ch/women/product/alexanderwangt/off-white-wash-and-go-logo-bra/3956991,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
alexanderwang.t,$385,Grey Utility V-Neck Sweater,https://www.ssense.com/en-ch/women/product/alexanderwangt/grey-utility-v-neck-sweater/3957531,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
alexanderwang.t,$190,Grey Wash & Go Logo Bra,https://www.ssense.com/en-ch/women/product/alexanderwangt/grey-wash-and-go-logo-bra/3956981,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
alexanderwang.t,$165,Off-White Oversized Wash & Go Puff Logo T-Shirt,https://www.ssense.com/en-ch/women/product/alexanderwangt/off-white-oversized-wash-and-go-puff-logo-t-shirt/3957361,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
alexanderwang.t,$215,Off-White Twisted Top,https://www.ssense.com/en-ch/women/product/alexanderwangt/off-white-twisted-top/3957081,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
alexanderwang.t,$215,Khaki Twisted Top,https://www.ssense.com/en-ch/women/product/alexanderwangt/khaki-twisted-top/3957091,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
alexanderwang.t,$215,Black Twisted Top,https://www.ssense.com/en-ch/women/product/alexanderwangt/black-twisted-top/3957071,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
alexanderwang.t,$190,Black Wash & Go Logo Bra,https://www.ssense.com/en-ch/women/product/alexanderwangt/black-wash-and-go-logo-bra/3956971,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
Levi's,$90,Black Denim Ex-Boyfriend Trucker Jacket,https://www.ssense.com/en-ch/women/product/levis/black-denim-ex-boyfriend-trucker-jacket/4445591,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
Nike,$60,Grey Tech Pack HyperCool Tank Top,https://www.ssense.com/en-ch/women/product/nike/grey-tech-pack-hypercool-tank-top/3787049,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
Nike,$55,Brown Tech Pack HyperCool Shorts,https://www.ssense.com/en-ch/women/product/nike/brown-tech-pack-hypercool-shorts/3787909,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
Nike,$55,Grey Tech Pack HyperCool Shorts,https://www.ssense.com/en-ch/women/product/nike/grey-tech-pack-hypercool-shorts/3787929,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
Marsèll,$790,Black Parruccona Boots,https://www.ssense.com/en-ch/women/product/marsell/black-parruccona-boots/3936871,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
Marsèll,$700,Black Zuccolona Boots,https://www.ssense.com/en-ch/women/product/marsell/black-zuccolona-boots/3936921,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
Marsèll,$540,Black Formicaccio Derbys,https://www.ssense.com/en-ch/women/product/marsell/black-formicaccio-derbys/3937041,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
Marsèll,$575,Black Rilisto Derby,https://www.ssense.com/en-ch/women/product/marsell/black-rilisto-derby/3936831,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
Marsèll,$520,Black Colteldino Loafers,https://www.ssense.com/en-ch/women/product/marsell/black-colteldino-loafers/3936991,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
Marsèll,$395,Black Coltellaccio Ballerina Flats,https://www.ssense.com/en-ch/women/product/marsell/black-coltellaccio-ballerina-flats/3937001,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
Leigh Miller,$200,Transparent Glass Small Hoop Earrings,https://www.ssense.com/en-ch/women/product/leigh-miller/transparent-glass-small-hoop-earrings/3685839,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
Leigh Miller,$205,Purple Glass Hoop Earrings,https://www.ssense.com/en-ch/women/product/leigh-miller/purple-glass-hoop-earrings/3788899,https://res.cloudinary.com/ssenseweb/image/upload/v1472069180/product-placeholder_qulza9.png
