ArticleNumber,AvailableQty,expectedDeliveryDateFormatted,inventoryCount,inventoryCountFormatted,quantityFormatted
32708265,100.00,02-09-2019,63,63,1
40117802,0.00,,22,22,1
40605815,0.00,,88,88,1
40608565,0.00,,244,244,1
40608704,0.00,,46,46,1
45207225,0.00,,29,29,1
48508747,0.00,,244,244,1
62208537,0.00,,0,0,1
75237133,0.00,,368,368,1
75237134,0.00,,973,973,1
75237136,0.00,,26,26,1
79117714,0.00,,29,29,1
79200019,2.00,13-03-2020,72,72,1
79200020,0.00,,111,111,1
79200028,200.00,30-10-2019,192,192,1
79202260,200.00,30-10-2019,380,380,1
79204863,0.00,,2,2,1
79204864,0.00,,28,28,1
79205398,0.00,,91,91,1
79207877,100.00,30-10-2019,118,118,1
79207878,0.00,,159,159,1
79207879,2.00,13-03-2020,34,34,1
79207880,102.00,19-07-2019,68,68,1
79209502,0.00,,7,7,1
79209531,2.00,13-03-2020,109,109,1
79209532,2.00,13-03-2020,207,207,1
799019,0.00,,154,154,1
89201540,0.00,,12,12,1
89201541,0.00,,23,23,1
89307028,2.00,13-03-2020,151,151,1
89307038,0.00,,180,180,1
89307039,0.00,,235,235,1
90178773,0.00,,77,77,1
90906920,0.00,,25,25,1
90906928,0.00,,41,41,1
95008499,0.00,,18,18,1
95706790,0.00,,69,69,1
95706791,0.00,,217,217,1
82042672,0.00,,12,12,1
82042673,0.00,,34,34,1
82044564,10.00,13-03-2020,100,100,1
82044565,0.00,,194,194,1
82045215,210.00,15-08-2019,0,0,1
82045284,328.00,09-09-2019,0,0,1
82045310,248.00,29-07-2019,0,0,1
82045535,6.00,13-03-2020,186,186,1
82045979,12.00,13-03-2020,266,266,1
82046084,2.00,13-03-2020,143,143,1
82046085,2.00,13-03-2020,159,159,1
82046262,244.00,05-08-2019,0,0,1
82046429,270.00,15-08-2019,0,0,1
82046441,84.00,15-08-2019,0,0,1
12403407,0.00,,331,331,1
82040276,0.00,,49,49,1
82041304,8.00,13-03-2020,177,177,1
82041305,10.00,13-03-2020,63,63,1
82042194,0.00,,141,141,1
82042670,0.00,,0,0,1
82042675,0.00,,0,0,1
82042689,12.00,13-03-2020,58,58,1
82043457,10.00,13-03-2020,299,299,1
82040773,0.00,,109,109,1
82041277,0.00,,0,0,1
87303409,0.00,,155,155,1
87306025,0.00,,101,101,1
